,Job title,Company name,Location,Salary
0,US IT Recruiter,Devcare Solutions,"Chennai, Tamil Nadu","₹25,000 - ₹35,000 a month"
1,HR Executive,DRB Foods Private Limited,"Delhi, Delhi","₹15,000 - ₹25,000 a month"
2,Retail Sales Executive,FirstCry.com,"Patna, Bihar+10 locations","₹20,000 a month"
3,Sales Operations Support | 4 to 6 years | PAN India ( WFH),Capgemini,"Remote in Delhi, Delhi","₹15,000 a month"
4,Team Lead - Data Entry Operator,ActionEdge Knowledge Services Pvt Ltd.,"Ahmedabad, Gujarat","₹59,805 a month"
5,Test Automation Engineer,Siemens,"Bengaluru, Karnataka","₹33,813 a month"
6,Buyers Assistant,TECHTORA CONSULTANCY PVT. LTD.,"Bengaluru, Karnataka","₹1,30,608 - ₹6,14,673 a year"
7,Opening for Gas Agency Executive,Gas Agency,"Kanchipuram, Tamil Nadu","₹15,000 - ₹25,000 a month"
8,Executive Assistant - FRDC India,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka","₹4,00,000 - ₹5,00,000 a year"
9,IT Technical Recruiter,Academy of Skill Development and Learning,"Remote in Noida, Uttar Pradesh+2 locations","₹5,00,000 a year"
10,HR Executive,istatam llp,"Bengaluru, Karnataka","₹15,000 - ₹25,000 a month"
11,Tamil Content Writer,RDS Business Services,"Anna Salai, Chennai, Tamil Nadu","₹20,000 - ₹25,000 a month"
12,Sales and Marketing Manager for Cruise.,Ind-Aust Maritime Pvt Ltd,"Navi Mumbai, Maharashtra",0
13,Data Entry Executive,Jetking Infotrain Limited,"Santacruz, Maharashtra",0
14,Catalog / listing Specialist,Ripsil Digital Services Pvt. Ltd.,"Bengaluru, Karnataka",0
15,UK IT Recruiter,Ness Digital Engineering,"Bengaluru, Karnataka",0
16,it software,Vihang Adcon Pvt Ltd,"Ahmedabad, Gujarat",0
17,Chief Marketing Officer,American Road Technology & Solutions Pvt ltd,"Bengaluru, Karnataka",0
18,US IT Bench Sales Recruiter,Java RnD Private Limited,"Remote in Delhi, Delhi",0
